Stack trace:
#0 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(47): SimpleXMLElement->__construct('<a href="/en-US...')
#1 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(19): CollectXbox360ContentCrawler->requestPage()
#2 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(12): CollectXbox360ContentCrawler->collectContent()
#3 D:\workspace\alexandar\classes\KDGCrawler.php(19): CollectXbox360ContentCrawler->execute()
#4 D:\workspace\alexandar\1.1.collect_x360.php(10): Crawler->__construct()
#5 {main}
  thrown in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): Entity: line 1: parser error : Opening and ending tag mismatch: img line 1 and a in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): fe-1000-9115-d802415608fc/1033/boxartsm.jpg&quot; title=&quot;Call of Duty®: Ghosts&quot;&gt;&lt;/a&gt; in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct():                                                                                ^ in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): Entity: line 1: parser error : Premature end of data in tag a line 1 in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct(): fe-1000-9115-d802415608fc/1033/boxartsm.jpg&quot; title=&quot;Call of Duty®: Ghosts&quot;&gt;&lt;/a&gt; in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Warning:  SimpleXMLElement::__construct():                                                                                ^ in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php on line 47
[09-Jan-2015 12:42:57 Europe/Kiev] PHP Fatal error:  Uncaught exception 'Exception' with message 'String could not be parsed as XML' in D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php:47
Stack trace:
#0 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(47): SimpleXMLElement->__construct('<a href="/en-US...')
#1 D:\workspace\alexandar\classes\crawlers\CollectXbox360ContentCrawler.php(19): CollectXbox360ContentCrawler->requestPage()
